mutation_type,unique_snv_count
conservative_inframe_deletion,19459
conservative_inframe_insertion,9720
disruptive_inframe_deletion,27322
disruptive_inframe_insertion,6516
frameshift_variant,322611
frameshift_variant&splice_region_variant,9090
frameshift_variant&start_lost,1172
frameshift_variant&stop_gained,5532
frameshift_variant&stop_gained&splice_region_variant,150
frameshift_variant&stop_lost,1294
initiator_codon_variant,1241
intragenic_variant,1053860
missense_variant,894862
missense_variant&splice_region_variant,62301
splice_region_variant&synonymous_variant,6899
start_lost,15625
stop_gained,205864
stop_gained&splice_region_variant,7261
stop_lost,6543
synonymous_variant,245859
5_prime_UTR_premature_start_codon_gain_variant,1040
conservative_inframe_deletion&splice_region_variant,340
start_lost&conservative_inframe_deletion,305
start_lost&conservative_inframe_insertion,80
stop_gained&disruptive_inframe_deletion,296
stop_lost&conservative_inframe_deletion,215
start_lost&splice_region_variant,405
stop_retained_variant,431
stop_gained&disruptive_inframe_deletion&splice_region_variant,10
stop_lost&splice_region_variant,363
disruptive_inframe_deletion&splice_region_variant,513
bidirectional_gene_fusion,65
stop_gained&conservative_inframe_insertion,156
stop_gained&disruptive_inframe_insertion,284
conservative_inframe_insertion&splice_region_variant,65
splice_region_variant,350
disruptive_inframe_insertion&splice_region_variant,51
non_coding_transcript_variant,47
start_lost&disruptive_inframe_deletion,44
stop_lost&disruptive_inframe_deletion,24
start_retained_variant,77
gene_fusion,28
initiator_codon_variant&splice_region_variant,18
rare_amino_acid_variant,18
stop_gained&conservative_inframe_insertion&splice_region_variant,12
stop_gained&disruptive_inframe_insertion&splice_region_variant,13
frameshift_variant&synonymous_variant,5
start_lost&conservative_inframe_deletion&splice_region_variant,7
splice_region_variant&stop_retained_variant,21
frameshift_variant&stop_lost&splice_region_variant,53
start_lost&disruptive_inframe_insertion,35
exon_loss_variant,1
frameshift_variant&missense_variant&splice_region_variant,1
frameshift_variant&start_lost&splice_region_variant,38
frameshift_variant&missense_variant,13
stop_lost&conservative_inframe_deletion&splice_region_variant,5
stop_gained&conservative_inframe_deletion,1
exon_loss_variant&splice_region_variant,1
start_lost&disruptive_inframe_deletion&splice_region_variant,1
conservative_inframe_deletion&synonymous_variant,1
stop_lost&disruptive_inframe_deletion&splice_region_variant,2
start_lost&conservative_inframe_insertion&splice_region_variant,1
conservative_inframe_insertion&synonymous_variant,3
stop_lost&disruptive_inframe_insertion,2
missense_variant&disruptive_inframe_insertion,1
